product_id,brand,model_name,category,gender_target,size_system_primary,size_range_primary,sizes_available_uk,sizes_available_us,sizes_available_eu,foot_length_min_cm,foot_length_max_cm,width_options,recommended_foot_width_cm_min,recommended_foot_width_cm_max,fit_profile,cushioning_level,arch_support,material_upper,outsole_type,weight_g,colors,price_usd,rating_avg,review_count,stock_status,image_url,description_short,sources_used
new-balance-surge-7-lite-running-1,New Balance,Surge 7 Lite,Running,Female,UK,UK 3-8.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46",21.8,26.9,Regular|Wide,8.81,10.31,regular,medium,low,engineered mesh,rubber,267,brown|beige|black,130.5,4.5,158,in_stock,,"Built for running days: engineered mesh upper, durable rubber outsole, medium cushion, low support, and a regular fit.",newbalance.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
nike-retro-elite-casual-2,Nike,Retro Elite,Casual,Female,UK,UK 3.5-8,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8","5.5,6,6.5,7,7.5,8,8.5,9,9.5,10","38,39,40,40.5,41,42,43,43.5,44,45",22.3,26.7,Narrow|Regular|Wide,8.16,10.36,snug,low,high,leather,rubber,300,brown|white|green|purple,87.36,3.2,106,low_stock,,Casual shoe with leather upper and rubber outsole; low cushioning and high arch support for a snug feel.,nike.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
asics-aero-9-running-3,ASICS,Aero 9,Running,Female,UK,UK 3.5-8.5,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","38,39,40,40.5,41,42,43,43.5,44,45,46",22,27.1,Regular,8.18,10.38,regular,high,low,knit mesh,rubber,249,pink|orange|purple,138.4,4.4,97,in_stock,,Running shoe with knit mesh upper and rubber outsole; high cushioning and low arch support for a regular feel.,asics.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
hoka-grit-iii-premium-trail-4,HOKA,Grit III Premium,Trail,Male,UK,UK 6-11.5,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50",24.2,29.6,Narrow|Regular|Wide,9.05,11.25,snug,medium,medium,ripstop mesh,Vibram-style rubber,399,navy|orange|tan,172.87,4.2,24,low_stock,,"HOKA trail footwear featuring ripstop mesh, Vibram-style rubber, medium cushioning, medium arch support, and a snug profile.",hoka.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
salomon-charge-elite-athletic-5,Salomon,Charge Elite,Athletic,Female,UK,UK 3-8,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10","37.5,38,39,40,40.5,41,42,43,43.5,44,45",21.8,26.7,Regular,8.07,10.27,snug,low,low,synthetic leather,rubber,254,beige|white|green|pink,98.95,4.4,37,in_stock,,Athletic shoe with synthetic leather upper and rubber outsole; low cushioning and low arch support for a snug feel.,salomon.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
new-balance-charge-x-air-athletic-6,New Balance,Charge X Air,Athletic,Female,UK,UK 3.5-8.5,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5","5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5","38,39,40,40.5,41,42,43,43.5,44,45,46",22.2,26.9,Narrow|Regular|Wide,8.18,10.38,regular,high,high,synthetic mesh,TPU,326,yellow|orange,138.25,4,43,low_stock,,Athletic shoe with synthetic mesh upper and TPU outsole; high cushioning and high arch support for a regular feel.,newbalance.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
nike-charge-iii-pro-athletic-7,Nike,Charge III Pro,Athletic,Male,UK,UK 6-12,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",24.2,30.1,Narrow|Regular,9.15,10.45,regular,low,high,synthetic mesh,rubber,238,yellow|white|brown|grey,146.74,3.9,94,in_stock,,"Nike athletic footwear featuring synthetic mesh, rubber, low cushioning, high arch support, and a regular profile.",nike.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
saucony-court-ii-casual-8,Saucony,Court II,Casual,Unisex,UK,UK 3-11.5,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5","4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46,46.5,47,48,49,49.5,50",21.8,29.6,Regular,8.61,10.81,roomy,medium,medium,canvas,gum rubber,371,beige|brown,100.33,3.9,19,in_stock,,Casual shoe with canvas upper and gum rubber outsole; medium cushioning and medium arch support for a roomy feel.,saucony.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
skechers-velocity-6-running-9,Skechers,Velocity 6,Running,Unisex,UK,UK 3.5-12,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","38,39,40,40.5,41,42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",22.1,29.9,Regular,8.72,10.92,regular,high,high,synthetic mesh,carbon rubber,218,purple|tan|green,116.87,4.6,47,in_stock,,"Built for running days: synthetic mesh upper, durable carbon rubber outsole, high cushion, high support, and a regular fit.",skechers.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
saucony-outback-ii-lite-trail-10,Saucony,Outback II Lite,Trail,Unisex,UK,UK 3-12,"3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12","4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13","37.5,38,39,40,40.5,41,42,43,43.5,44,45,46,46.5,47,48,49,49.5,50,51",21.9,30.1,Narrow|Regular,8.72,10.02,snug,medium,medium,ripstop mesh,sticky rubber,364,red|tan|navy,131.51,4.9,49,in_stock,,Trail shoe with ripstop mesh upper and sticky rubber outsole; medium cushioning and medium arch support for a snug feel.,saucony.com; size charts: nike.com/adidas.co.uk/asics.com/clarks.com
