foot_length_cm,foot_width_cm,category,gender,target_UK_size,target_EU_size,target_US_size,allowance_cm,effective_length_cm
27.3,10.1,Running,Male,11,45,12,1.5,28.8
26.3,9.8,Running,Male,10,44,11,1.5,27.8
27,10.3,Running,Male,10.5,45,11.5,1.5,28.5
26.7,10.6,Running,Male,10.5,44,11.5,1.5,28.2
25.4,8.7,Running,Male,9,42,10,1.5,26.9
28.5,11.3,Running,Male,12.5,47,13.5,1.5,30
28.1,9.9,Running,Male,12,46,13,1.5,29.6
26.6,10.4,Running,Male,10,44,11,1.5,28.1
27.8,10.8,Running,Male,11.5,46,12.5,1.5,29.3
26.5,10.1,Running,Male,10,44,11,1.5,28
25.6,9.7,Running,Male,9,43,10,1.5,27.1
29.1,11.1,Running,Male,13,48,14,1.5,30.6
27.4,10,Running,Male,11,45,12,1.5,28.9
26.6,10.2,Running,Male,10,44,11,1.5,28.1
27.8,10.6,Running,Male,11.5,46,12.5,1.5,29.3
27,10.1,Running,Male,10.5,45,11.5,1.5,28.5
27,10.5,Running,Male,10.5,45,11.5,1.5,28.5
26.6,9.5,Running,Male,10,44,11,1.5,28.1
27.7,10.4,Running,Male,11.5,46,12.5,1.5,29.2
27.5,10.6,Running,Male,11.5,46,12.5,1.5,29
25.4,9.7,Running,Male,9,42,10,1.5,26.9
26.7,10.1,Running,Male,10.5,44,11.5,1.5,28.2
27.7,10.4,Running,Male,11.5,46,12.5,1.5,29.2
26.3,9.5,Running,Male,10,44,11,1.5,27.8
26.6,10.4,Running,Male,10,44,11,1.5,28.1
27.5,9.4,Running,Male,11.5,46,12.5,1.5,29
27.8,10.2,Running,Male,11.5,46,12.5,1.5,29.3
27.1,9.8,Running,Male,11,45,12,1.5,28.6
26.2,9.9,Running,Male,9.5,44,10.5,1.5,27.7
27.3,10.4,Running,Male,11,45,12,1.5,28.8
26.9,9.6,Running,Male,10.5,45,11.5,1.5,28.4
28,9.9,Running,Male,12,46,13,1.5,29.5
26.5,10.1,Running,Male,10,44,11,1.5,28
28.4,9.5,Running,Male,12.5,47,13.5,1.5,29.9
23.6,9.5,Running,Male,6.5,40,7.5,1.5,25.1
29.5,10.6,Running,Male,13.5,48,14.5,1.5,31
28.4,9.4,Running,Male,12.5,47,13.5,1.5,29.9
