gender_target,size_system,size_value,foot_length_cm,foot_width_cm_typical,width_label,sources_used
Male,UK,6,24.6,8.59,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,6,24.6,9.09,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,6,24.6,9.79,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,6.5,25.0,8.75,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,6.5,25.0,9.25,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,6.5,25.0,9.95,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,7,25.4,8.91,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,7,25.4,9.41,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,7,25.4,10.11,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,7.5,25.9,9.07,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,7.5,25.9,9.57,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,7.5,25.9,10.27,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,8,26.3,9.23,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,8,26.3,9.73,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,8,26.3,10.43,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,8.5,26.7,9.39,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,8.5,26.7,9.89,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,8.5,26.7,10.59,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,9,27.2,9.55,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,9,27.2,10.05,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,9,27.2,10.75,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,9.5,27.6,9.71,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,9.5,27.6,10.21,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,9.5,27.6,10.91,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,10,28.0,9.87,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,10,28.0,10.37,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,10,28.0,11.07,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,10.5,28.4,10.03,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,10.5,28.4,10.53,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,10.5,28.4,11.23,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,11,28.9,10.19,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,11,28.9,10.69,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,11,28.9,11.39,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,11.5,29.3,10.35,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,11.5,29.3,10.85,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,11.5,29.3,11.55,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,12,29.7,10.51,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,12,29.7,11.01,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,UK,12,29.7,11.71,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,7,24.6,8.59,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,7,24.6,9.09,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,7,24.6,9.79,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,7.5,25.0,8.75,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,7.5,25.0,9.25,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,7.5,25.0,9.95,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,8,25.4,8.91,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,8,25.4,9.41,Regular,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,8,25.4,10.11,Wide,"clarks.com, nike.com, adidas.co.uk, asics.com"
Male,US,8.5,25.9,9.07,Narrow,"clarks.com, nike.com, adidas.co.uk, asics.com"
